age,income,loan_amount,employment_type,education,marital_status,loan_purpose,default
59,604067,585004,Salaried,Graduate,Married,Home,0
49,1422329,110644,Self-Employed,Graduate,Single,Home,0
35,969855,699938,Salaried,Post-Graduate,Married,Education,0
28,1253869,792784,Salaried,High School,Married,Car,0
41,705365,775076,Salaried,Graduate,Single,Home,0
59,1131324,706742,Salaried,Post-Graduate,Married,Home,1
39,1054259,505441,Salaried,Graduate,Divorced,Home,0
43,1164667,260970,Salaried,Graduate,Divorced,Car,0
31,299345,709527,Salaried,Graduate,Divorced,Personal,0
31,807415,298926,Salaried,Post-Graduate,Married,Home,0
44,963536,167323,Salaried,High School,Single,Car,0
56,584287,415993,Self-Employed,Post-Graduate,Single,Car,1
44,676814,501589,Self-Employed,Graduate,Married,Personal,1
23,883532,131117,Salaried,Graduate,Single,Business,0
42,866297,666018,Unemployed,Graduate,Married,Home,0
22,817945,209895,Self-Employed,Post-Graduate,Married,Personal,0
44,1093708,635260,Self-Employed,Graduate,Married,Personal,0
50,678564,649251,Salaried,Graduate,Single,Business,0
58,404581,628822,Salaried,Post-Graduate,Married,Home,0
22,1141056,479967,Unemployed,High School,Single,Personal,0
41,1131622,336265,Salaried,Graduate,Single,Personal,0
53,211290,646024,Self-Employed,Post-Graduate,Married,Business,0
32,1011555,785657,Salaried,Graduate,Married,Personal,0
42,412991,727486,Unemployed,Graduate,Single,Education,0
45,1300712,111581,Salaried,High School,Divorced,Home,0
47,1181390,793991,Salaried,Post-Graduate,Single,Home,0
48,317278,338267,Self-Employed,Graduate,Married,Business,0
36,1404835,625324,Salaried,High School,Married,Personal,0
35,935048,442206,Salaried,Post-Graduate,Married,Education,0
23,588826,720950,Salaried,Post-Graduate,Single,Education,0
57,604220,759684,Salaried,Graduate,Single,Education,0
27,569322,773080,Salaried,Graduate,Single,Personal,0
41,1044032,596989,Self-Employed,Graduate,Single,Car,0
29,1405163,777899,Self-Employed,Graduate,Single,Business,0
59,710798,680022,Unemployed,Graduate,Married,Car,0
38,1339464,75387,Salaried,Post-Graduate,Married,Business,0
24,1497068,107613,Salaried,Graduate,Single,Home,0
45,847899,358810,Self-Employed,Graduate,Married,Home,0
34,778764,220207,Self-Employed,Post-Graduate,Married,Personal,0
29,1148716,603842,Self-Employed,Post-Graduate,Married,Business,0
46,292154,274389,Salaried,Post-Graduate,Single,Car,0
22,1192201,92146,Unemployed,High School,Single,Home,0
40,1371113,150037,Salaried,High School,Married,Personal,1
48,414075,456204,Salaried,High School,Single,Home,0
27,549269,757479,Self-Employed,Post-Graduate,Single,Car,0
28,1417278,328600,Salaried,Post-Graduate,Divorced,Business,1
55,1186110,547637,Salaried,Graduate,Divorced,Education,0
34,965604,775938,Self-Employed,Post-Graduate,Single,Home,0
37,684006,254669,Self-Employed,Post-Graduate,Married,Business,0
56,609801,792883,Self-Employed,Graduate,Married,Home,0
24,1035672,541166,Salaried,Graduate,Married,Business,0
22,1001204,112718,Salaried,Post-Graduate,Single,Car,1
26,1455372,535993,Salaried,High School,Married,Education,0
24,573134,267285,Self-Employed,Graduate,Married,Home,0
49,312315,583930,Salaried,Graduate,Single,Personal,1
38,1207803,412988,Salaried,Post-Graduate,Married,Personal,0
46,560197,246215,Salaried,Graduate,Single,Home,1
54,868234,279457,Salaried,High School,Married,Business,0
30,290341,362627,Self-Employed,Post-Graduate,Married,Business,1
56,1309472,549475,Salaried,Graduate,Divorced,Home,0
34,232822,408773,Self-Employed,Post-Graduate,Married,Business,0
51,876110,361652,Salaried,Graduate,Married,Home,1
35,1088767,157815,Salaried,Post-Graduate,Married,Car,0
28,1159587,181651,Unemployed,Graduate,Single,Education,0
34,1366404,640469,Self-Employed,Graduate,Married,Business,0
43,584910,753830,Self-Employed,Graduate,Single,Education,1
41,1245449,252871,Self-Employed,High School,Married,Car,0
36,332624,197000,Salaried,Post-Graduate,Married,Personal,0
38,535475,404489,Salaried,High School,Single,Car,0
44,336343,93591,Salaried,Post-Graduate,Married,Car,1
46,1052083,667699,Self-Employed,Post-Graduate,Single,Business,0
45,1088349,713859,Salaried,Graduate,Single,Personal,0
49,360066,198490,Salaried,Post-Graduate,Married,Education,0
35,1278843,371710,Self-Employed,Graduate,Single,Personal,0
21,1142439,521682,Salaried,High School,Married,Car,1
45,1018180,327390,Salaried,Post-Graduate,Single,Personal,0
27,597053,482001,Salaried,High School,Single,Business,0
29,1442342,153425,Unemployed,Post-Graduate,Married,Business,0
44,602826,447493,Unemployed,Graduate,Single,Car,0
21,1277191,705709,Salaried,Graduate,Married,Home,0
28,407716,772301,Salaried,Post-Graduate,Divorced,Personal,0
44,1090567,385144,Salaried,Graduate,Married,Education,1
31,758350,718868,Salaried,Graduate,Married,Car,0
37,379503,671853,Salaried,Graduate,Single,Home,0
28,1321662,160123,Salaried,Graduate,Married,Personal,1
55,1004891,379225,Unemployed,Graduate,Married,Home,0
55,442407,562224,Salaried,High School,Divorced,Car,0
53,1141254,428578,Self-Employed,Graduate,Single,Personal,0
25,1489821,78957,Salaried,Graduate,Married,Home,0
59,450967,713256,Salaried,Post-Graduate,Single,Home,0
48,1247941,526490,Salaried,Graduate,Single,Business,0
27,1025017,553344,Self-Employed,Post-Graduate,Married,Car,0
29,1332274,155634,Self-Employed,Post-Graduate,Married,Education,0
28,245635,709648,Salaried,Graduate,Single,Car,0
32,375926,71150,Salaried,Graduate,Single,Car,0
54,931586,684828,Self-Employed,Post-Graduate,Single,Business,0
53,753392,679427,Self-Employed,Graduate,Single,Education,0
43,1199797,333235,Self-Employed,High School,Single,Business,0
44,476914,706260,Salaried,High School,Divorced,Car,0
57,459258,358846,Self-Employed,Post-Graduate,Married,Home,0
55,1115182,331869,Salaried,Graduate,Single,Home,0
42,967993,603010,Salaried,Graduate,Single,Car,0
47,1108677,467294,Salaried,Graduate,Divorced,Personal,0
55,1303754,263119,Salaried,Graduate,Married,Car,1
21,1081587,592347,Salaried,High School,Married,Car,0
55,745116,592449,Salaried,Graduate,Single,Personal,0
57,1003603,251773,Salaried,Graduate,Married,Personal,0
34,704879,402489,Self-Employed,High School,Married,Business,0
23,723277,584975,Unemployed,Graduate,Married,Home,0
21,721827,394647,Salaried,Graduate,Married,Personal,0
25,459595,411914,Salaried,High School,Single,Car,0
46,214202,582982,Salaried,Graduate,Divorced,Education,0
34,657044,744878,Salaried,Post-Graduate,Divorced,Education,0
59,1335943,177260,Salaried,Graduate,Single,Business,0
47,783334,411603,Salaried,Post-Graduate,Divorced,Education,0
29,652488,736001,Salaried,Graduate,Married,Home,0
35,875799,746088,Self-Employed,Post-Graduate,Divorced,Car,0
35,541016,789274,Unemployed,Graduate,Divorced,Education,0
46,384348,251764,Self-Employed,Graduate,Single,Home,0
33,598267,236505,Salaried,Post-Graduate,Single,Education,0
52,1166978,420085,Self-Employed,Graduate,Single,Car,0
59,1324180,257459,Salaried,High School,Single,Business,0
52,460408,106561,Salaried,Post-Graduate,Single,Home,0
24,1134471,389152,Unemployed,Post-Graduate,Single,Personal,0
50,1139277,447190,Self-Employed,Graduate,Single,Personal,1
57,1082982,789426,Self-Employed,High School,Single,Education,1
43,1450065,74053,Salaried,Post-Graduate,Single,Personal,0
59,1289758,483288,Self-Employed,Graduate,Single,Home,1
35,578954,444426,Self-Employed,High School,Single,Personal,0
49,394661,269171,Salaried,Post-Graduate,Married,Home,0
56,1190739,781805,Salaried,Graduate,Divorced,Personal,0
33,1272756,571694,Salaried,Graduate,Single,Business,0
52,1299948,155128,Salaried,High School,Married,Education,0
27,1352003,613254,Self-Employed,Graduate,Married,Home,0
42,964298,772003,Salaried,Post-Graduate,Married,Business,0
48,918449,159573,Unemployed,Graduate,Married,Education,0
22,581760,284362,Self-Employed,Post-Graduate,Divorced,Business,0
26,426283,156327,Salaried,Graduate,Single,Personal,0
48,1490129,454462,Salaried,Graduate,Single,Home,0
48,1281510,200271,Salaried,Post-Graduate,Married,Car,0
40,779883,679399,Salaried,High School,Married,Business,0
50,437685,417421,Salaried,Post-Graduate,Single,Car,0
31,1094737,574457,Salaried,Graduate,Divorced,Home,0
48,955870,456165,Unemployed,Graduate,Married,Personal,0
45,234018,621601,Unemployed,Graduate,Single,Personal,1
59,457061,634419,Self-Employed,Post-Graduate,Married,Car,0
53,1082373,438339,Self-Employed,Post-Graduate,Married,Education,0
21,1422279,785372,Self-Employed,Post-Graduate,Single,Car,0
47,1185191,157127,Salaried,Post-Graduate,Single,Car,0
33,870912,747124,Salaried,Graduate,Married,Car,0
23,1152569,211971,Self-Employed,Post-Graduate,Single,Car,0
59,831820,792295,Unemployed,Graduate,Married,Home,0
26,1021079,359884,Salaried,Graduate,Single,Home,0
28,257940,246562,Salaried,Graduate,Divorced,Car,0
47,1380268,728641,Salaried,Post-Graduate,Single,Car,0
29,877251,686627,Salaried,Graduate,Single,Personal,0
57,1355142,118570,Salaried,Graduate,Married,Business,0
53,1048827,456544,Salaried,Graduate,Single,Home,0
44,1299531,169168,Unemployed,Graduate,Single,Education,0
35,494458,463012,Self-Employed,Post-Graduate,Single,Education,0
52,616716,122666,Unemployed,Post-Graduate,Married,Education,0
52,1302261,152173,Salaried,Post-Graduate,Single,Business,0
44,848235,367395,Salaried,Post-Graduate,Single,Personal,0
32,300229,324477,Salaried,Graduate,Married,Business,1
59,1036621,217681,Unemployed,Post-Graduate,Single,Car,0
22,555698,745650,Salaried,High School,Married,Personal,0
23,1268143,185997,Salaried,Graduate,Married,Personal,0
57,864990,453980,Salaried,Graduate,Married,Car,0
37,286184,628514,Salaried,Graduate,Single,Education,0
22,738889,127632,Salaried,Post-Graduate,Married,Education,0
22,901264,351612,Self-Employed,Post-Graduate,Married,Home,0
48,1361458,52094,Salaried,High School,Single,Education,0
43,543990,357727,Salaried,Post-Graduate,Married,Business,0
57,323409,99021,Salaried,Graduate,Single,Personal,0
52,222098,252858,Self-Employed,Post-Graduate,Single,Home,0
53,376974,589650,Salaried,High School,Married,Home,0
21,1367078,222647,Unemployed,Post-Graduate,Married,Education,0
39,1292856,530388,Salaried,Graduate,Married,Home,1
22,995383,324329,Salaried,Graduate,Single,Home,1
46,1256693,220843,Salaried,Graduate,Married,Car,0
52,225979,393822,Salaried,High School,Single,Education,0
26,667741,740429,Self-Employed,Post-Graduate,Divorced,Education,0
52,216915,514021,Unemployed,High School,Single,Personal,1
24,521405,715124,Self-Employed,Graduate,Married,Business,0
31,953020,208185,Salaried,High School,Divorced,Home,0
37,843113,329032,Salaried,Graduate,Single,Home,0
58,561046,473419,Unemployed,Graduate,Single,Business,0
44,1207921,689379,Salaried,Graduate,Married,Business,0
25,663656,485795,Self-Employed,Graduate,Married,Home,1
54,705071,577194,Unemployed,High School,Single,Business,0
26,1170040,667413,Salaried,Graduate,Married,Car,1
42,733210,726472,Salaried,Graduate,Married,Business,0
31,1345272,794989,Self-Employed,High School,Married,Education,0
36,1316137,639233,Salaried,Post-Graduate,Divorced,Home,0
53,253380,117105,Salaried,Graduate,Married,Home,0
29,595982,422356,Salaried,Graduate,Single,Business,0
26,939378,513435,Salaried,Post-Graduate,Single,Personal,0
36,626375,286106,Self-Employed,Graduate,Divorced,Car,0
49,473079,438402,Salaried,Graduate,Single,Education,0
23,465928,585444,Self-Employed,Graduate,Single,Business,0
40,681802,579350,Self-Employed,Post-Graduate,Married,Personal,1
56,875581,759177,Salaried,Post-Graduate,Single,Business,0
39,218069,470961,Self-Employed,High School,Married,Home,1
46,1284258,609228,Salaried,Post-Graduate,Single,Education,1
23,1342879,596751,Self-Employed,Post-Graduate,Single,Business,0
39,573413,348332,Self-Employed,Post-Graduate,Married,Home,1
40,886592,121813,Salaried,Post-Graduate,Married,Car,0
52,1244013,608305,Self-Employed,Post-Graduate,Married,Home,0
27,1030705,301824,Salaried,High School,Married,Business,0
53,255210,426519,Self-Employed,Post-Graduate,Single,Business,0
